@relation bandeiracovid
282,129,4,38,113,28,220,3,11546.60,10876.63,262, 37,55,3 
134,77,160,124,65,99,226,261,9801.78,10609.72,258, 18,43,2 
161,86,164,281,6,86,17,77,11084.73,11343.72,189, 49,60,2 
82,285,1,197,222,42,219,74,14830.96,11944.27,163, 18,61,2 
282,78,232,217,231,10,47,76,13240.10,2468.93,15, 51,16,3 
195,51,119,122,49,181,187,27,6671.37,3269.66,241, 25,94,3 
185,199,25,7,203,233,199,272,7543.78,4003.67,65, 64,23,2 
75,89,242,242,177,250,266,209,1744.82,14213.02,232, 3,59,2 
34,201,9,58,73,234,61,231,5593.69,15747.76,291, 61,4,1 
52,296,122,53,159,223,168,45,3079.09,19684.70,152, 36,4,2 
217,197,64,100,146,163,268,13,14009.87,14947.02,280, 16,37,2 
245,200,141,98,247,187,123,38,3027.77,13679.20,270, 24,74,3 
250,17,80,135,97,219,103,19,9493.87,7139.87,23, 1,46,1 
70,85,68,86,73,76,103,155,2052.73,333.64,156, 22,22,1 
110,156,188,221,48,42,218,254,6979.28,16681.95,168, 44,50,2 
80,160,57,161,215,11,46,6,6260.82,4137.12,63, 72,96,3 
190,131,53,283,89,21,13,210,2206.68,17549.41,294, 72,95,3 
196,183,45,244,242,77,121,216,5388.41,9542.07,52, 77,96,3 
218,280,154,215,4,280,212,31,1693.50,2735.84,96, 63,93,3 
49,64,230,182,175,10,14,15,1590.86,6339.14,45, 60,42,2 
120,121,82,109,214,169,271,164,11546.60,15080.48,63, 28,46,2 
56,46,268,277,195,288,279,89,9237.28,17883.05,281, 28,67,2 
113,172,275,247,236,210,200,195,12778.23,16748.68,187, 73,32,3 
51,246,111,47,66,170,250,30,6927.96,12678.28,78, 76,63,2 
100,113,104,33,182,1,54,240,12829.55,16748.68,138, 81,4,2 
24,177,236,98,240,233,2,281,4362.05,1534.74,170, 4,57,2 
82,4,166,7,93,139,256,232,8929.37,6272.41,149, 1,81,1 
164,26,56,54,201,266,166,86,2309.32,2936.02,264, 44,75,3 
173,189,163,3,157,3,163,156,102.64,10542.99,163, 14,31,3 
283,282,196,176,295,101,297,152,8416.19,6806.23,0, 81,62,3 
97,141,80,269,127,8,128,169,11751.87,6539.32,79, 42,13,2 
123,90,147,112,9,289,173,113,4054.14,11010.08,293, 34,43,3 
36,51,253,161,17,69,173,131,9288.60,8140.79,89, 16,36,2 
20,292,297,211,81,264,59,126,14471.74,6405.87,133, 1,59,1 
232,38,74,193,75,143,56,78,12521.64,10676.45,293, 56,99,3 
25,198,249,180,41,285,51,197,3694.91,2602.38,142, 9,84,2 
190,292,104,107,287,256,121,100,9288.60,10476.26,175, 76,51,2 
40,3,273,104,46,185,76,15,2668.55,17482.68,147, 73,93,3 
205,155,136,33,234,39,189,268,12111.10,7139.87,285, 71,11,3 
298,115,160,59,74,19,114,75,12572.96,2535.66,174, 2,71,2 
276,219,295,67,29,11,215,278,3643.59,10743.17,222, 83,40,3 
286,293,55,156,280,151,23,191,6004.23,7206.60,84, 93,76,2 
276,116,46,5,7,96,263,96,9545.19,18350.14,187, 65,89,3 
27,290,212,88,49,168,247,49,14677.01,17549.41,137, 16,88,2 
4,113,83,73,121,51,145,4,1077.68,9008.25,108, 79,67,3 
156,21,16,214,1,72,227,138,307.91,133.46,278, 63,34,2 
83,45,128,183,185,105,66,171,10468.92,5004.58,13, 30,30,2 
56,164,192,58,225,171,56,205,3284.37,2669.11,192, 30,38,2 
127,208,220,199,47,212,81,197,14728.33,667.28,129, 17,70,2 
98,297,110,80,291,148,25,275,13907.24,5538.41,90, 73,92,3 
0,181,168,222,36,136,152,125,4875.23,19284.33,175, 54,16,2 
70,18,101,7,280,92,2,149,153.95,2669.11,93, 50,47,3 
288,183,135,188,237,148,108,219,13137.46,8674.61,239, 35,83,2 
296,81,66,178,46,220,78,274,8878.05,12211.19,271, 37,18,2 
195,113,157,124,236,51,87,80,1231.64,19417.79,230, 95,28,3 
151,68,187,117,86,53,267,91,3027.77,14746.84,178, 77,30,3 
150,190,271,286,176,184,64,29,1026.36,9275.16,113, 6,66,2 
154,244,225,5,66,193,23,104,461.86,4670.95,15, 47,2,2 
151,149,299,42,250,147,201,76,12008.46,7340.06,79, 98,65,3 
155,104,45,174,70,53,150,5,14625.69,15147.21,105, 28,99,3 
40,49,3,170,138,169,216,71,7903.00,1201.10,77, 11,85,2 
141,212,96,12,60,253,87,208,9288.60,11076.81,38, 91,47,2 
280,176,284,274,28,163,282,227,13753.28,2468.93,43, 29,89,3 
260,50,236,251,154,271,4,164,1744.82,1601.47,111, 43,36,2 
69,160,293,253,220,181,24,216,10520.23,17415.95,133, 8,45,2 
233,269,78,42,136,275,286,39,11700.55,9608.80,179, 97,84,2 
64,117,87,190,36,188,254,76,2719.87,9675.53,82, 75,52,2 
299,52,141,30,229,198,103,135,7184.55,15280.66,296, 70,67,3 
106,54,231,51,68,177,222,205,5388.41,5138.04,139, 61,14,3 
147,185,279,149,162,165,169,291,7595.10,4203.85,89, 88,84,2 
37,262,129,153,177,211,169,210,7287.19,3803.48,199, 45,23,1 
203,134,210,151,61,205,15,99,1334.27,12611.55,3, 74,73,2 
10,136,287,45,102,92,192,94,10725.51,19284.33,138, 74,20,3 
15,139,221,87,207,204,79,204,7800.37,400.37,216, 0,1,1 
11,270,98,179,224,36,38,272,12932.19,17415.95,288, 54,89,2 
160,212,136,172,89,98,31,103,10417.60,3936.94,76, 39,99,3 
171,160,144,5,69,111,117,282,3746.23,8474.43,219, 74,2,2 
165,286,164,117,235,196,216,180,5850.28,17682.86,3, 10,72,3 
148,125,111,134,91,184,245,165,14009.87,4270.58,256, 21,77,2 
38,109,35,227,222,277,287,147,0.00,10342.81,123, 66,37,3 
70,265,269,243,289,289,67,176,769.77,18950.69,274, 35,93,3 
266,24,196,194,39,19,57,41,12726.92,13145.37,192, 75,82,3 
122,242,92,193,21,61,79,64,8313.55,13345.56,99, 45,89,2 
284,156,179,175,64,52,90,23,1231.64,12678.28,197, 2,97,3 
105,68,175,292,0,190,184,154,7800.37,8941.52,56, 27,72,2 
194,194,8,99,282,61,81,244,2719.87,3069.48,72, 81,27,2 
33,238,17,135,259,60,168,170,13753.28,11677.36,286, 22,35,2 
38,239,92,107,296,54,268,119,4618.64,13078.65,248, 37,2,2 
80,299,117,293,103,159,232,216,12829.55,16748.68,186, 90,63,2 
197,169,55,15,71,255,113,95,5850.28,12745.01,86, 79,40,3 
240,233,123,151,123,283,233,181,11751.87,18283.41,286, 55,72,2 
240,183,215,168,34,154,175,162,8159.60,7406.78,73, 50,96,3 
90,12,181,90,124,186,291,236,14677.01,12077.73,77, 11,18,3 
233,176,184,14,279,22,37,92,3489.64,11944.27,231, 55,78,3 
99,173,177,299,173,173,250,245,13291.42,3469.84,48, 55,23,2 
87,164,94,278,266,123,215,78,5080.50,10943.36,88, 62,89,2 
96,120,67,182,220,8,146,246,6671.37,5738.59,58, 27,33,2 
180,91,220,168,277,151,204,230,6927.96,13879.38,125, 92,30,3 
112,168,14,276,41,23,230,216,4208.09,9475.35,257, 47,37,2 
91,251,34,112,200,140,168,48,14728.33,9542.07,165, 49,64,2 
107,130,271,3,101,125,232,207,1077.68,2669.11,261, 19,0,2 
172,168,249,249,91,135,62,293,5491.05,5938.77,66, 32,41,2 
133,133,160,226,17,132,240,97,8416.19,11343.72,293, 24,45,2 
195,38,281,186,98,56,260,279,9339.91,19017.42,267, 85,40,3 
180,160,193,173,119,64,191,116,12932.19,333.64,44, 76,43,3 
137,230,167,41,117,183,266,97,8672.78,3069.48,220, 2,8,1 
238,12,25,38,13,4,170,194,3592.27,7606.97,26, 20,32,2 
258,84,95,61,276,118,132,72,1539.55,13345.56,74, 36,39,3 
122,107,283,198,65,258,263,246,3335.68,16148.13,187, 56,89,3 
16,300,152,195,135,175,160,33,821.09,7006.42,148, 87,24,2 
189,88,92,82,244,38,83,16,7287.19,8074.06,196, 48,55,3 
190,199,67,47,129,187,122,181,9955.73,11677.36,50, 40,17,2 
120,57,168,145,35,290,136,133,9647.82,16615.22,48, 65,74,3 
64,141,278,264,89,36,142,70,12008.46,1334.56,41, 95,37,3 
28,263,62,158,38,248,4,152,9904.42,16681.95,60, 0,86,1 
205,144,246,38,298,136,231,120,14369.10,2202.02,288, 92,72,3 
38,240,117,5,55,168,174,111,10263.64,2669.11,190, 75,31,2 
30,279,66,55,25,216,113,292,1796.14,19217.60,145, 83,88,2 
103,87,239,231,15,171,200,190,12316.37,12411.37,36, 17,33,3 
139,144,104,76,216,180,65,107,14933.60,13145.37,262, 42,80,2 
26,3,241,25,46,272,182,128,1282.96,8674.61,56, 35,23,3 
247,70,265,48,125,146,226,154,6722.69,15614.30,53, 41,59,3 
221,300,200,5,289,154,258,263,14830.96,17949.78,171, 32,55,2 
128,171,241,206,159,64,251,155,2463.27,15547.58,209, 46,91,3 
21,50,210,28,30,74,193,135,10982.10,0.00,182, 84,90,1 
67,217,97,48,36,261,4,179,12213.73,5138.04,151, 26,98,3 
158,54,137,242,235,287,52,261,13240.10,13745.92,87, 46,9,2 
160,127,127,99,128,97,282,187,102.64,600.55,209, 43,20,3 
10,244,71,0,65,210,290,229,3387.00,3670.03,40, 7,72,2 
149,258,190,221,136,1,199,81,11751.87,14546.66,45, 17,34,2 
77,14,247,39,194,6,20,88,14728.33,16882.13,296, 58,86,3 
273,48,167,168,54,220,84,213,14574.37,6606.05,5, 15,74,2 
152,42,98,9,62,64,58,299,3951.50,9808.99,108, 45,17,2 
52,76,83,77,15,154,108,275,8621.46,19284.33,194, 91,19,2 
161,299,106,229,221,291,153,209,4618.64,1267.83,205, 63,83,1 
57,135,143,17,234,205,153,166,3284.37,8741.34,226, 46,64,2 
75,83,38,281,257,135,161,130,5645.00,9542.07,31, 87,25,2 
74,178,21,30,137,138,266,93,14779.64,6606.05,86, 62,40,2 
89,213,17,151,42,163,61,269,1231.64,3136.21,229, 77,62,1 
191,137,295,244,168,46,217,108,1847.46,3069.48,31, 3,56,3 
245,85,241,40,281,72,16,71,10520.23,5872.05,124, 55,51,3 
73,199,77,269,242,214,173,262,11136.05,14546.66,240, 75,20,2 
99,179,239,16,178,103,126,153,9801.78,2135.29,285, 95,85,2 
28,223,91,50,54,15,30,198,8570.14,867.46,280, 96,46,2 
35,220,69,211,25,230,131,99,2104.05,19351.06,155, 31,75,2 
172,38,80,81,234,30,155,135,9185.96,2402.20,241, 89,49,3 
14,226,194,95,52,42,287,237,3694.91,17816.32,162, 68,30,3 
61,226,101,236,139,14,56,208,13650.64,9408.62,46, 45,65,2 
139,244,129,92,238,41,171,210,10468.92,18283.41,2, 67,62,2 
65,186,97,179,146,235,45,299,12675.60,3069.48,97, 47,83,1 
234,282,56,248,131,138,26,279,6158.19,19217.60,106, 92,50,1 
30,250,157,36,15,187,226,25,8929.37,14346.47,171, 34,11,2 
105,290,90,170,274,157,255,110,12726.92,17949.78,3, 96,19,2 
211,21,107,277,14,243,136,131,1898.77,10743.17,95, 86,27,2 
55,114,216,196,102,289,234,19,11392.64,9275.16,120, 6,81,2 
10,93,119,203,31,296,276,63,12419.01,9341.89,176, 36,55,2 
81,155,17,159,189,38,209,34,12213.73,4937.86,200, 46,18,2 
167,195,185,189,100,165,55,62,5850.28,7807.15,19, 70,35,1 
182,87,260,19,69,35,193,195,14009.87,16214.85,267, 42,22,3 
87,187,30,136,172,259,234,80,2668.55,0.00,137, 23,20,1 
125,195,114,107,149,64,160,154,14523.05,13812.65,276, 95,83,3 
13,254,36,154,294,76,238,56,872.41,14413.20,105, 25,74,2 
45,195,163,83,252,172,8,70,3694.91,13078.65,234, 82,45,2 
265,78,132,128,101,60,245,121,4464.68,1601.47,189, 15,17,3 
17,26,108,256,248,47,45,296,5234.46,7206.60,196, 55,57,2 
206,81,30,224,230,3,202,140,12932.19,17482.68,9, 60,55,3 
138,140,189,156,9,234,172,15,2873.82,10876.63,123, 31,92,3 
193,154,54,278,127,131,151,288,4105.46,7340.06,61, 57,53,2 
269,182,125,115,138,194,1,70,14215.14,19551.24,6, 83,66,2 
57,80,27,86,211,239,106,204,10982.10,19284.33,88, 60,25,1 
13,225,113,232,60,233,290,217,718.45,19351.06,41, 99,39,2 
242,187,155,63,111,188,110,220,3694.91,18283.41,100, 85,15,2 
48,110,269,168,10,81,55,49,11187.37,8340.97,95, 79,28,2 
52,168,14,42,283,39,250,182,8416.19,14413.20,127, 0,14,1 
60,157,72,243,72,140,236,151,7800.37,15681.03,288, 62,98,3 
85,152,191,149,221,220,61,42,9288.60,6939.69,38, 27,13,3 
81,211,77,172,216,213,80,86,5029.18,11277.00,147, 41,11,2 
23,125,178,289,12,181,224,191,14471.74,5471.68,13, 1,26,1 
125,165,257,102,238,144,41,256,3027.77,8541.16,162, 48,29,2 
166,228,260,53,125,70,49,104,1590.86,4737.67,3, 0,19,1 
276,39,127,135,38,117,285,153,7851.69,13612.47,235, 43,16,2 
46,246,207,49,134,292,205,194,12213.73,18817.24,87, 65,7,2 
233,229,83,70,83,265,2,297,7030.59,11076.81,246, 75,35,2 
207,242,95,143,248,247,196,31,5285.78,2068.56,247, 69,31,2 
16,124,131,168,269,257,74,88,153.95,18550.33,96, 42,42,2 
17,210,285,89,5,68,262,64,4823.91,12678.28,44, 85,65,2 
145,252,230,0,140,294,0,228,923.73,15747.76,135, 4,37,2 
262,156,261,191,85,44,30,151,4464.68,9074.98,14, 25,12,3 
100,232,218,79,216,97,279,183,8980.69,14613.39,219, 31,33,3 
41,154,18,98,86,219,142,280,5542.37,11076.81,5, 77,61,1 
106,122,156,260,248,36,159,81,3130.41,6072.23,280, 1,23,1 
125,109,276,297,114,99,213,292,3643.59,15147.21,292, 17,5,2 
268,285,90,188,154,297,108,28,11495.28,15681.03,108, 92,0,2 
127,280,126,33,81,252,105,269,13086.14,4337.31,12, 15,84,2 
154,4,220,229,250,46,299,189,8108.28,15947.94,216, 10,48,3 
272,97,101,171,7,70,27,280,10520.23,15614.30,140, 49,98,3 
99,200,171,121,169,104,99,158,8929.37,3536.57,94, 78,1,2 
270,8,85,294,82,40,260,209,6825.32,10676.45,228, 88,72,3 
31,188,152,217,81,123,117,230,4259.41,16148.13,117, 50,44,1 
155,170,18,87,59,98,293,198,12829.55,6272.41,66, 30,0,2 
256,248,15,174,240,11,258,256,11751.87,17015.59,228, 58,14,3 
39,147,149,222,167,102,202,54,15292.83,12544.82,149, 24,75,2 
109,88,66,183,66,146,257,11,13394.05,19551.24,155, 1,76,1 
143,167,43,9,265,63,79,27,12419.01,16148.13,247, 44,31,3 
288,246,107,132,90,166,112,152,4002.82,2001.83,47, 54,40,2 
154,42,223,166,130,21,299,262,15036.24,17616.14,169, 72,73,3 
102,266,264,219,291,51,128,206,513.18,9942.44,56, 66,46,2 
40,142,199,43,139,111,221,109,2976.46,8607.88,162, 76,89,3 
248,200,275,33,243,24,264,127,5080.50,9074.98,60, 20,75,3 
160,25,297,244,281,186,89,10,13342.73,11810.82,56, 56,25,3 
220,295,270,23,260,197,224,259,13907.24,12811.74,135, 84,39,2 
82,164,87,62,246,134,74,242,8878.05,1734.92,140, 50,62,2 
270,69,280,1,54,153,174,130,4208.09,12277.91,45, 56,29,3 
233,75,118,167,123,239,29,88,1950.09,4470.76,26, 77,76,2 
92,115,152,133,132,2,41,248,10161.01,14613.39,183, 79,51,2 
246,54,148,178,251,185,174,300,6260.82,4737.67,143, 81,56,2 
107,58,177,40,1,272,47,40,2976.46,17015.59,82, 59,0,3 
242,271,188,188,155,135,77,104,14420.42,18950.69,285, 27,44,2 
83,177,91,10,194,195,112,54,7954.32,6739.51,168, 2,94,2 
176,248,159,87,138,190,171,61,4054.14,13679.20,151, 0,2,1 
260,40,73,32,6,155,159,249,4721.28,18083.23,211, 57,47,2 
282,23,15,53,94,53,237,56,12521.64,16548.49,167, 46,73,3 
186,61,223,147,94,51,224,141,15190.19,15414.12,3, 65,18,3 
181,4,26,168,155,216,181,275,7030.59,15480.85,270, 61,36,2 
219,178,177,178,175,185,275,207,4618.64,2802.57,267, 12,13,2 
63,50,209,276,215,181,68,218,14779.64,7073.15,163, 70,48,2 
123,279,164,16,108,263,212,86,7800.37,4537.49,207, 14,42,2 
148,6,199,294,151,10,52,251,15036.24,3870.21,94, 34,31,2 
105,202,249,159,287,153,103,233,2822.50,8607.88,153, 92,72,2 
132,96,196,48,33,279,83,153,13599.33,3202.93,17, 74,41,2 
224,124,216,39,26,269,21,118,12213.73,5338.22,241, 22,59,2 
212,7,289,12,222,90,203,191,5696.32,15681.03,220, 98,12,3 
244,25,242,270,90,144,71,222,3079.09,14346.47,2, 58,38,1 
154,243,100,32,249,261,282,24,12521.64,14746.84,9, 34,87,2 
225,286,117,88,244,154,242,173,11700.55,10142.62,82, 52,0,3 
246,192,280,22,236,112,181,1,5029.18,1868.38,26, 58,68,3 
268,142,75,106,48,186,199,209,9185.96,8407.70,208, 22,96,3 
26,5,248,277,179,20,152,48,13137.46,18149.96,51, 87,81,3 
273,198,266,117,250,198,262,30,1436.91,3069.48,21, 38,29,3 
125,166,268,244,30,50,57,176,3130.41,5738.59,82, 35,94,3 
40,41,167,56,62,229,109,137,6825.32,1534.74,183, 38,45,2 
83,283,111,291,280,292,178,217,12521.64,5938.77,26, 29,53,1 
179,116,1,20,198,234,182,280,6927.96,6872.96,233, 77,33,2 
288,93,99,50,73,292,152,72,7287.19,15347.39,19, 1,70,1 
220,62,203,171,142,155,17,144,10828.14,5872.05,244, 12,86,2 
239,102,238,248,39,178,77,210,1488.23,8607.88,71, 72,19,2 
287,216,47,158,188,255,198,293,6927.96,19684.70,130, 35,42,2 
276,204,230,200,144,172,108,89,3284.37,18750.51,61, 64,87,3 
146,158,26,193,153,251,166,125,8518.82,18350.14,193, 49,85,2 
145,162,218,31,294,267,135,151,1334.27,14880.30,213, 14,48,2 
177,1,198,33,104,35,179,45,4721.28,3803.48,121, 61,69,3 
61,114,294,58,92,229,249,195,4721.28,9808.99,164, 61,14,2 
92,83,130,215,214,233,254,248,1898.77,3069.48,197, 90,24,2 
261,9,209,16,108,85,225,69,1744.82,0.00,8, 66,46,1 
194,55,236,11,181,29,108,178,3489.64,19351.06,258, 25,1,3 
76,236,289,191,242,30,214,33,7287.19,2535.66,56, 39,92,3 
107,187,203,61,260,88,44,264,6517.41,14680.11,230, 53,58,2 
177,66,52,283,27,271,144,182,10417.60,17949.78,168, 25,96,3 
89,82,19,96,298,211,247,19,8929.37,7807.15,124, 15,59,3 
100,159,132,171,265,286,230,8,9801.78,18350.14,211, 32,22,2 
63,83,117,277,46,226,125,250,9904.42,15480.85,241, 63,14,1 
29,33,196,288,262,247,117,156,14728.33,9675.53,94, 98,53,2 
85,111,258,267,243,165,167,95,12367.69,19084.15,34, 70,42,2 
51,177,205,39,130,3,85,51,9545.19,2468.93,52, 72,81,3 
23,69,68,100,28,133,149,222,4105.46,2869.29,254, 10,85,1 
288,212,75,198,218,170,95,37,12316.37,17282.50,124, 55,36,3 
94,192,255,77,294,258,246,9,10417.60,18750.51,50, 38,87,3 
284,194,169,62,186,86,83,63,10725.51,8207.52,5, 23,6,3 
280,64,78,242,121,89,281,27,3130.41,5938.77,62, 10,51,3 
168,30,49,59,2,176,18,242,6260.82,2535.66,132, 19,75,2 
299,130,82,59,245,184,54,52,9750.46,11877.55,35, 30,31,3 
157,10,65,84,236,15,242,270,564.50,6205.68,201, 17,33,2 
111,42,137,15,45,82,61,12,307.91,9608.80,251, 89,19,3 
173,153,178,153,265,263,0,214,12778.23,4670.95,255, 44,66,3 
163,77,166,75,112,129,274,139,15344.15,10209.35,1, 5,70,2 
180,96,27,85,194,143,78,262,1744.82,14680.11,222, 11,40,2 
246,231,296,210,70,85,138,83,9237.28,13545.74,125, 1,21,1 
90,10,121,288,249,263,222,138,5439.73,18416.87,64, 25,51,2 
211,52,201,212,77,39,249,203,11495.28,2001.83,249, 51,40,3 
240,259,204,17,232,32,294,37,2052.73,17082.31,159, 21,38,3 
250,174,229,279,94,221,240,156,1539.55,4404.03,245, 99,38,2 
2,186,66,20,44,77,142,58,3797.55,7206.60,144, 36,50,2 
115,184,195,61,31,207,156,198,12162.42,11744.09,180, 92,0,2 
39,240,225,20,133,5,23,128,13137.46,16481.76,112, 32,55,2 
76,54,18,271,201,234,18,149,513.18,9675.53,284, 17,81,2 
271,176,186,130,297,246,9,140,5285.78,13946.11,49, 3,4,3 
19,208,127,1,64,171,81,112,14625.69,5338.22,255, 57,47,2 
84,153,224,253,207,210,270,150,8210.91,5738.59,48, 20,69,2 
10,274,178,238,205,251,19,253,1693.50,13946.11,59, 99,21,1 
274,112,71,4,30,175,68,161,9032.00,10676.45,221, 29,78,2 
2,252,195,174,141,130,24,202,15190.19,333.64,162, 88,16,2 
213,226,258,236,129,292,52,177,7954.32,7807.15,60, 97,55,2 
49,11,267,134,40,73,281,188,5850.28,9542.07,42, 3,55,3 
148,128,31,108,1,257,28,258,1180.32,14346.47,227, 92,45,2 
67,265,203,159,116,189,55,93,3284.37,14613.39,216, 31,16,2 
172,273,157,70,209,54,96,142,564.50,1401.28,140, 84,15,2 
35,125,96,279,115,232,230,23,12726.92,15080.48,223, 26,23,2 
208,219,86,16,85,160,36,105,11443.96,8407.70,71, 98,18,2 
230,57,119,236,265,273,248,139,12829.55,11877.55,267, 61,65,2 
8,289,262,70,158,57,141,151,9955.73,4804.40,34, 17,46,2 
228,126,271,42,134,35,273,130,5850.28,5271.50,70, 26,9,3 
65,300,71,253,160,146,192,159,307.91,4937.86,192, 66,1,2 
298,257,132,287,292,2,265,283,4772.59,10009.17,163, 74,53,2 
298,16,274,144,217,97,90,71,12213.73,5404.95,180, 77,60,3 
63,121,290,173,81,219,216,36,2052.73,17682.86,184, 13,40,2 
24,181,242,242,145,211,146,27,9134.64,12544.82,167, 46,8,2 
283,113,234,215,83,284,213,234,13342.73,19150.88,257, 2,54,1 
6,299,87,256,250,71,172,162,1590.86,14546.66,149, 55,79,2 
216,167,11,3,159,182,50,252,3797.55,2202.02,131, 59,52,2 
0,63,41,140,9,229,55,102,6055.55,8874.80,231, 25,32,1 
106,296,29,247,79,94,154,70,4772.59,2468.93,154, 60,90,2 
198,271,50,289,266,6,149,299,14266.46,16014.67,137, 9,79,2 
118,242,214,107,138,66,55,291,8518.82,4871.13,239, 46,82,2 
205,95,65,145,108,219,53,159,14728.33,1201.10,210, 32,32,2 
274,75,46,134,114,17,183,24,2617.23,3136.21,180, 87,6,3 
24,4,64,237,192,51,241,192,7492.46,9341.89,239, 82,13,3 
44,291,216,28,117,178,293,267,10058.37,19150.88,192, 3,80,2 
186,132,116,124,276,52,209,279,13445.37,18550.33,229, 11,59,2 
264,169,205,79,83,124,233,279,5183.14,13145.37,285, 18,17,2 
163,284,7,194,202,106,263,31,872.41,11143.54,232, 55,47,2 
126,222,96,160,291,65,88,252,6363.46,15547.58,296, 80,8,2 
177,18,266,41,290,300,156,68,3233.05,5204.77,233, 84,93,3 
68,82,186,204,40,240,180,90,5439.73,0.00,6, 89,76,1 
